cve_ent,cve_mun,nom_mun,viv_tot,viv_rem,viv_emig,viv_circ,viv_ret,iim_dp2,gim_dp2,pos_nal
31,31073,Tahdziú,1281,0.6245121,0.23419204,0.07806401,0.15612802,65.12374,Muy bajo,2265.0
31,31074,Tahmek,1096,3.467153285,0.3649635,0.0,0.18248175,64.86911,Muy bajo,2001.0
31,31075,Teabo,1739,3.967797585,0.80506038,0.0,1.38010351,64.40338,Muy bajo,1609.0
31,31076,Tecoh,4795,0.563086548,0.16684046,0.0,0.04171011,65.2769,Muy bajo,2408.0
31,31077,Tekal de Venegas,775,0.258064516,0.0,0.0,0.0,65.35249,Muy bajo,2454.0
31,31078,Tekantó,1084,1.569713758,0.0,0.0,0.0,65.20143,Muy bajo,2337.0
31,31079,Tekax,11862,5.087748903,1.88838307,0.27049873,0.68296796,63.92396,Bajo,1260.0
31,31080,Tekit,2892,2.973720609,0.76071923,0.20746888,0.76071923,64.42417,Muy bajo,1625.0
31,31081,Tekom,802,0.623441397,0.0,0.0,0.24937656,65.24131,Muy bajo,2380.0
31,31082,Telchac Pueblo,1122,3.921568627,1.06951872,0.26809651,0.35682426,64.29365,Bajo,1516.0
31,31083,Telchac Puerto,570,1.410934744,0.35087719,0.0,0.1754386,65.11032,Muy bajo,2248.0
31,31084,Temax,1894,1.055966209,0.0,0.10559662,0.0,65.12165,Muy bajo,2261.0
31,31085,Temozón,4388,0.432999088,0.0,0.0,0.13673655,65.29446,Muy bajo,2419.0
31,31086,Tepakán,683,1.317715959,0.0,0.29325513,0.0,64.84457,Muy bajo,1976.0
31,31087,Tetiz,1483,4.922454484,0.60687795,0.4045853,1.28118678,63.82279,Bajo,1212.0
31,31088,Teya,570,0.526315789,0.0,0.0,0.0,65.3216,Muy bajo,2437.0
31,31089,Ticul,10300,3.126213592,1.12621359,0.14582928,0.32038835,64.54641,Muy bajo,1720.0
31,31090,Timucuy,1796,0.167037862,0.11135857,0.0,0.0,65.34369,Muy bajo,2449.0
31,31091,Tinum,3269,0.458855919,0.0,0.0,0.09177118,65.30394,Muy bajo,2425.0
31,31092,Tixcacalcupul,1898,0.316122234,0.0,0.0,0.10537408,65.31661,Muy bajo,2433.0
31,31093,Tixkokob,5082,1.200314837,0.07870917,0.07883327,0.21645022,65.06663,Muy bajo,2209.0
31,31094,Tixmehuac,1423,0.843288826,0.07027407,0.0,0.42164441,65.15609,Muy bajo,2292.0
31,31095,Tixpéhual,1541,0.324464633,0.12978585,0.19467878,0.0,65.06619,Muy bajo,2208.0
31,31096,Tizimín,21431,0.989221222,0.20531006,0.04203054,0.11665345,65.14509,Muy bajo,2284.0
